Name,Value,Change,Volume,High,Low
CML-CORONATION FUND MNGRS LD,"4,935", 0.78%,1.50M,4.94K,4.88K
CKS-CROOKES BROTHERS LTD,"4,300", 4.88%,1.10K,4.40K,4.30K
CSG-CSG HOLDINGS LTD,27, 3.85%,386.07K,28,27
COH-CURRO HOLDINGS LIMITED,"1,130", -0.88%,80.15K,1.14K,1.11K
DTC-DATATEC LTD,"3,237", -1.49%,81.57K,3.31K,3.13K
DLT-DELTA PROPERTY FUND LTD,42, 2.44%,152.90K,42,41
DNB-DENEB INVESTMENTS LTD,174,0%,163,174,174
DKR-DEUTSCHE KONSUM REIT-AG,"29,300",0%,0,0,0
DIA-DIPULA INCOME FUND A,859, -1.15%,2.51K,869,821
DIB-DIPULA INCOME FUND B,418, 6.91%,24.82K,419,391
DCP-DIS-CHEM PHARMACIES LTD,"2,922", -0.68%,735.67K,2.95K,2.89K
DSY-DISCOVERY LTD,"11,952", -1.68%,1.84M,12.23K,11.74K
DGH-DISTELL GROUP HLDGS LTD,"17,750", -0.82%,344.35K,17.99K,17.61K
DRA-DRA GLOBAL LTD,"3,476", -3.44%,2.81K,3.60K,3.45K
DRD-DRD GOLD LTD,"1,347", -0.07%,330.62K,1.37K,1.34K
EMH-E MEDIA HOLDINGS LTD,280,0%,0,0,0
EMN-E MEDIA HOLDINGS LTD -N-,280,0%,694,280,280
EPS-EASTERN PLATINUM LTD,415, 0.73%,538,415,377
EPSN-EASTERN PLATINUM LTD NPL,9,0%,0,0,0
ECS-ECSPONENT LIMITED,1,0%,3.17M,1,1
EFG-EFFICIENT GROUP LTD,546,0%,0,0,0
EEL-EFORA ENERGY LIMITED,12,0%,0,0,0
ELI-ELLIES HOLDINGS LTD,22, 10%,355.95K,22,20
EMI-EMIRA PROPERTY FUND LTD,"1,005",0%,137.43K,1.01K,1K
ENX-ENX GROUP LIMITED,592, 3.68%,719,593,592
EOH-EOH HOLDINGS LTD,625, 5.57%,226.69K,635,594
EPE-EPE CAPITAL PARTNERS LTD,404, -3.12%,22.12K,419,401
